text,date,text_cleaned,tokens,compound,predicted_sentiment
Fantastic...but possibly overwhelming.,26 March 2019,fantasticbut possibly overwhelming,"['fantasticbut', 'possibly', 'overwhelming']",0.0,positive
So Much More Than I Expected!,19 November 2019,so much more than i expected,"['much', 'expected']",0.0,positive
How on God's green Earth did this work so well???,21 December 2018,how on gods green earth did this work so well,"['god', 'green', 'earth', 'work', 'well']",0.4101,positive
The best comic book movie I've ever seen,26 December 2018,the best comic book movie ive ever seen,"['best', 'comic', 'book', 'movie', 'ive', 'ever', 'seen']",0.6369,positive
Stan Lee Is Smiling Right Now,17 December 2018,stan lee is smiling right now,"['stan', 'lee', 'smiling', 'right']",0.4588,positive
Game Changer,21 December 2018,game changer,"['game', 'changer']",0.0,positive
the most visually stunning film I've ever seen,20 December 2018,the most visually stunning film ive ever seen,"['visually', 'stunning', 'film', 'ive', 'ever', 'seen']",0.4364,positive
A Spidey Movie That Works In Multiple Dimensions,14 December 2018,a spidey movie that works in multiple dimensions,"['spidey', 'movie', 'work', 'multiple', 'dimension']",0.0,positive
Captures Your Attention From The Get Go!,12 December 2018,captures your attention from the get go,"['capture', 'attention', 'get', 'go']",0.0,positive
"The better the art, the harder it is to find the right words to describe it.",21 December 2018,the better the art the harder it is to find the right words to describe it,"['better', 'art', 'harder', 'find', 'right', 'word', 'describe']",0.4404,positive
A game changer.,4 July 2023,a game changer,"['game', 'changer']",0.0,positive
Giving Infinity war a run for it's money,15 December 2018,giving infinity war a run for its money,"['giving', 'infinity', 'war', 'run', 'money']",-0.3612,negative
"Visually innovative, but has a lack of focus and is overstuffed.",4 January 2019,visually innovative but has a lack of focus and is overstuffed,"['visually', 'innovative', 'lack', 'focus', 'overstuffed']",-0.25,negative
"Creative, funny, engaging, and exciting",22 September 2019,creative funny engaging and exciting,"['creative', 'funny', 'engaging', 'exciting']",0.886,positive
The Best Spider-Man movie ever!,21 December 2018,the best spiderman movie ever,"['best', 'spiderman', 'movie', 'ever']",0.6369,positive
This movie is not over hyped!,15 December 2018,this movie is not over hyped,"['movie', 'hyped']",0.0,positive
What's better than one Spidey? Six Spideys of course!,16 December 2018,whats better than one spidey six spideys of course,"['whats', 'better', 'one', 'spidey', 'six', 'spideys', 'course']",0.4404,positive
See it in 3D!!!,14 December 2018,see it in 3d,"['see', '3d']",0.0,positive
Out of This Dimension Good! 100/10 off the Charts!,15 December 2018,out of this dimension good 10010 off the charts,"['dimension', 'good', '10010', 'chart']",0.4404,positive
"Sony, you are reedemed.",20 December 2018,sony you are reedemed,"['sony', 'reedemed']",0.0,positive
Come on give this a chance,20 December 2018,come on give this a chance,"['come', 'give', 'chance']",0.3071,positive
A little overrated but still good.,13 March 2019,a little overrated but still good,"['little', 'overrated', 'still', 'good']",0.5927,positive
The BEST depection of Spider-Man yet!,17 December 2018,the best depection of spiderman yet,"['best', 'depection', 'spiderman', 'yet']",0.6369,positive
"Too kid friendly, but good!",25 February 2019,too kid friendly but good,"['kid', 'friendly', 'good']",0.714,positive
Cinematic Euphoria,21 December 2018,cinematic euphoria,"['cinematic', 'euphoria']",0.6486,positive
One of the best superhero stories to hit the screen,23 December 2018,one of the best superhero stories to hit the screen,"['one', 'best', 'superhero', 'story', 'hit', 'screen']",0.6369,positive
